4915665405865706|07|2026|500
4915665466180656|12|2022|616
4915665411187582|11|2024|479
4915665438760163|01|2024|484
4915665482333412|01|2024|889
4915665427252032|06|2026|859
4915665441352883|04|2023|514
4915665426837015|01|2025|894
4915665427507104|08|2024|685
4915665483307563|08|2025|364
4915665461384667|09|2023|264
4915665417731144|12|2022|417
4915665428255356|07|2025|817
4915665426553232|06|2024|139
4915665465746432|06|2026|257
4915665427448234|09|2022|400
4915665458151475|01|2024|724
4915665482651581|04|2025|658
4915665483216145|10|2024|934
4915665463081113|06|2025|305
4915665464703301|07|2023|929
4915665423564687|02|2024|387
4915665415770185|07|2023|258
4915665437127265|02|2025|908
4915665455584348|06|2022|534
4915665470060134|12|2026|790
4915665480383211|02|2025|922
4915665488705605|01|2024|163
4915665443620725|01|2025|595
4915665483856387|01|2022|859
4915665446373702|11|2022|264
4915665475216806|09|2022|239
4915665477038638|06|2025|424
4915665486750736|01|2025|452
4915665432613368|04|2025|229
4915665466131824|10|2023|447
4915665446262830|10|2023|225
4915665401476144|11|2023|636
4915665456856208|04|2022|403
4915665411148584|12|2024|941
4915665413768454|08|2023|452
4915665408417844|07|2025|244
4915665454274131|11|2022|613
4915665455656385|04|2026|951
4915665465416572|06|2025|922
4915665480276878|10|2022|521
4915665444131854|09|2026|978
4915665475516783|03|2024|325
4915665450571621|06|2025|548
4915665412527828|06|2023|702
